SampleName,Actinobacteria,Bacteroidetes,Candidatus_Saccharibacteria,Chloroflexi,Cyanobacteria,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unclassified_Bacteria,Verrucomicrobia
SRS018656,0.03664244652181103,0.46936515900224096,0.00021724246265956,0.0,0.0,0.4853482554185201,7.888868139516542e-05,0.0,0.0013223239446734764,2.9079916770189782e-05,0.0006295607405875635,0.0011304728752291812,0.00011833475687533845,0.003191797121548793
SRS018817,0.0008148731876311997,0.8840646763840067,0.0,0.0,0.0,0.10765606596548806,0.0,0.0,0.004877859478427377,0.0,0.0,0.0,1.0748556455213645e-05,0.00123056257597647
SRS019030,0.0057848533265478065,0.8385195577441259,0.0,0.0,0.0,0.1271501466552489,0.0,0.0006186936199477717,0.02589879365849729,0.0,0.0002731336237678802,0.00021584645769638736,0.00012259985600038088,0.0
SRS019068,0.009807118373712792,0.5322025259189642,1.1018655673732097e-05,0.0,0.0,0.4320774456779724,0.0,3.8155706013041456e-05,0.011973499229182498,5.418185904648811e-05,1.3693159538268695e-05,0.007885410637341883,0.0019060357564095955,0.0
SRS019161,0.0038284083870416307,0.7157510860965901,0.0,0.0,0.0,0.25876130016727333,0.0,0.0007125340339366308,0.011086784193681549,4.9662619467581174e-05,0.0,0.00045989263298018866,0.00018971602176326245,0.0073320012931328985
SRS019267,0.00038075239528391486,0.9420062118788135,1.0125634536298566e-05,0.0,0.0,0.05196693345681892,0.0,0.0,0.003918810490473838,0.0,0.0,4.207191781872565e-05,0.0007212218162723295,0.0
SRS019381,0.002825660945101121,0.9383556958781867,1.7096691055309124e-05,0.0,0.0,0.05464668794740285,0.0,0.0,0.0016359055926178454,0.0,0.0,0.0001364027691165553,0.00020444640159967588,7.200250725032653e-05
SRS019397,0.0004557117467162901,0.8539800026861272,0.0,0.0,0.0,0.1296295878074315,1.1576770086329351e-05,0.0,0.01456238201851899,8.4353953479702e-05,0.0,0.00013827378805735763,4.039926310818972e-05,0.0
SRS019582,0.002701451743183565,0.6337612349836296,0.0,0.0,0.0,0.3488203917104937,0.0,0.0,0.006212665292579086,2.6737396218103132e-05,0.00014016858071036443,0.00040110347532462345,0.0006559425947480633,0.005173694877789315
SRS019601,0.004477350116274269,0.7641736326538169,0.0,0.0,0.0,0.19525269437604464,0.0,0.0,0.004312986604187833,1.1096155637653558e-05,0.0,0.0,0.00022975794890092052,0.0301795324118117
SRS019685,0.0035390179245826676,0.7952750501245022,0.0,0.0,0.0,0.18872855581294595,0.0,0.0005397501602226623,0.009327415979692695,2.3121640290773792e-05,1.4379570789674066e-05,3.022484464565824e-05,0.0004362196910883171,0.00021386125669372534
SRS019787,0.0008866938884765588,0.8950437784504669,1.0262260685828302e-05,0.0,0.0,0.06490752011555011,0.0,0.0,0.004790889803219865,0.0,0.0,1.287395810814196e-05,0.00013221030065089026,0.03331070559745942
SRS019910,0.00415063349423473,0.8348606726575218,0.0,0.0,0.0,0.14680456440972237,2.467917297160404e-05,6.834422862593686e-05,0.011315870256687672,0.0,0.0,0.0,0.0014273693845529513,0.0
SRS019968,0.001643901601935732,0.863303612721056,0.0,0.0,0.0,0.1227860437713521,0.0,0.0,0.0022930921344900814,2.4522759344617346e-05,0.0,0.0001556991467134875,6.649602764402629e-05,0.008204476647812872
SRS020233,0.01339894135810712,0.7525562549285488,1.2649122826698887e-05,0.0,0.0,0.22192607307957238,0.0,0.0001854773886475668,0.00643185737132576,1.2095446285724688e-05,0.00023951299140779458,0.0001857187454394133,0.0015471459653592914,0.0010786101523629972
SRS020328,0.031204667148515285,0.7030665165110184,0.00011436665684675844,0.0,0.0,0.17073803626734554,0.0,0.0,0.005236039091752093,4.909376354324945e-05,0.0,0.00017136418295426266,0.0008693689187726733,0.08634169950769753
SRS020869,0.024631114396586266,0.60380255931124,0.0,0.0,0.0,0.3492635673783851,0.0,0.0,0.003779694930296495,0.0,3.024523055064856e-05,0.00016018890890589447,0.0003802404436675562,0.015136104358486231
SRS021484,0.0030233195902894514,0.8675428517076152,0.0,0.0,0.0,0.09017413281882569,0.0,0.0,0.03500590507005623,0.0,0.0,6.605237030573867e-05,0.00011150204367436345,0.0031446807785997363
SRS021948,0.0036814312631103037,0.8399896772572011,1.0344110412630686e-05,0.0,0.0,0.11581288874538442,0.0,0.00168206315072756,0.011700509240067153,0.0,0.0,2.9510807195918383e-05,0.00035736515407025065,0.02478185739360971
SRS022071,0.027499260862559254,0.7587061346058375,0.0,0.0,0.0,0.20139418048010976,0.0,0.0,0.009431010919749794,9.456843909436137e-05,0.0,5.709783516324256e-05,0.0006747604768373076,0.00049133426505715
