SampleName,Actinobacteria,Bacteroidetes,Candidatus_Saccharibacteria,Chloroflexi,Deinococcus-Thermus,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unclassified_Bacteria,Verrucomicrobia
DRR127713,0.0006750364956485986,0.7752639264550013,8.414411033751728e-05,0.0,0.0,0.2185124270967675,1.1983742130447094e-05,0.0,0.003981608129940105,5.206509255532161e-05,0.0,0.0,0.00023672101007132955,1.07767497482094e-05
DRR127721,0.0026538708129494053,0.5813407917948131,3.6015013393257376e-05,0.0,0.0,0.33241719564817224,0.028085180776683295,0.0,0.0536752678362266,0.0,0.0,0.0,0.0004527226830793663,0.0
DRR127724,0.006219147682724717,0.6242756882389557,4.710806888633959e-05,0.0,0.0,0.33219607497018205,0.002616805916022195,0.0,0.03310595842259747,0.0,0.0,0.0,0.0004192673794228444,0.0
DRR127728,0.01948176577921745,0.8071006865869829,5.359056958654766e-05,0.0,0.0,0.13409179656041562,0.000377837509604933,0.0,0.03696755530825708,0.0,1.126952825859361e-05,0.0,0.0,4.104851328795888e-05
DRR127731,0.14525311411750355,0.47850247815973723,0.0,0.0,0.0,0.3168951644915887,0.010058548342118891,0.0,0.04450567113631237,6.619235063099342e-05,0.0,0.0,3.238720751676903e-05,0.003512617154296244
DRR127736,0.03985181141281367,0.6295700056542248,1.1637285668985131e-05,0.0,0.0,0.1609940869842566,0.1100257618373491,0.0,0.05841283011506217,0.0,0.0,0.0,4.0292302514463546e-05,0.0
DRR127748,0.3457828639802712,0.23392297865817605,5.17384522719856e-05,0.0,0.0,0.3896832273092279,0.00017174796992214784,0.0,0.02833355706193248,0.0,0.0,0.0,0.0007241045593318433,0.0
DRR127751,0.5787670488781174,0.007011497077427726,7.10374526902576e-05,0.0,0.0,0.30315968390179593,0.030399951114366535,0.0,0.07864840141748819,1.2265049569649899e-05,7.411908025900536e-05,0.0,0.0,0.0
DRR127752,0.01277528498582661,0.3551114635827866,3.7953841038969067e-05,0.0,0.0,0.36019676941758044,0.24203176886775246,0.0,0.02741697370819138,5.1116045691391524e-05,0.0,0.0,0.0011783240307465211,0.0
DRR127755,0.060190450101710424,0.34893920007361084,0.0,0.0,0.0,0.532646520460607,0.0,0.0,0.056123153736999526,8.097785686093672e-05,0.00010869480943710976,0.0,4.766772415261875e-05,2.880743592732123e-05
DRR127756,0.030579883173127823,0.19936977510837522,0.00018854548273775751,4.643053148202781e-05,0.0,0.6668032156964779,0.004746478876507954,0.0,0.0959342408404429,5.6084819777613895e-05,3.005155702422581e-05,0.0,1.950186345353647e-05,0.0
DRR127762,0.004488814079651069,0.6262769099959712,0.0,0.0,0.0,0.3419955853827603,0.0,0.0001302045988089098,0.024056459928084452,0.0,1.211883718197484e-05,0.0,0.0014081141126520984,6.101261809398767e-05
DRR127763,0.021986292727641858,0.4758945060965992,0.0,0.0,0.0,0.4761253908121254,1.5797007129828484e-05,0.0,0.021136587791330784,0.0,0.0,0.0,0.0005439188487033347,0.0027514930148961943
DRR127776,0.46031385041752104,0.10820312734579735,1.1305571907997764e-05,0.0,0.0,0.41208998678711267,0.0,0.0,0.008457666368878795,0.0,0.0,0.0,0.0004281211362926363,0.009321516214687457
DRR127777,0.17195061902881673,0.20083927857224856,1.4864233270209549e-05,0.0,0.0,0.6040537552063359,0.0,0.0,0.0213737605167651,0.0,0.0,0.0,9.956895793492276e-05,5.1969615440752035e-05
DRR162775,0.010618523694688978,0.5345130815432514,2.3894255396753295e-05,0.0,0.0,0.3607909121764479,0.025621354731063885,0.0,0.06651827461075005,0.0,0.00012539986070213695,0.0,0.0,2.4588700326628627e-05
DRR162776,0.07844624244645368,0.6808329886402351,4.83639997272174e-05,0.0,2.1160710296454646e-05,0.21803483492829875,0.0060117968147990475,0.0,0.015027897257807354,1.5470164064185143e-05,0.0,0.0,0.0,1.3864974477401998e-05
DRR171467,0.018740174460206125,0.044991977451503115,2.8755341922775983e-05,0.0,0.0,0.7654581473851741,0.0025472004032257587,0.0,0.07078581267760668,0.09577941961512748,0.0,0.0,4.203771697529388e-05,0.0
DRR171469,0.050914438544062274,0.40492886343445605,0.0,0.0,0.0,0.4689564791989331,0.0011863565403205335,0.00022397003813477944,0.06953955004293004,0.0,0.00036883833331849885,0.0,0.00014232649986569112,0.0017125706768637947
DRR171474,0.006510319185861557,0.7112815392903473,1.6720185726964633e-05,0.0,0.0,0.2594869403520894,0.015091135316503891,0.0,0.006292760506297927,0.0,0.0,0.0,1.0901754332325237e-05,0.0
DRR171477,0.0632652332248135,0.464992654742161,0.00018353157128171767,0.0,8.013616474252093e-05,0.3788952180209752,0.0028542435357632274,0.0,0.05258004201406174,0.0,0.0,0.0,0.001982090980191586,0.03331091731209236
DRR171479,0.02465632841276386,0.16885922296292075,1.4288799227746775e-05,4.8553696721052834e-05,0.0002046712012794139,0.332501248281803,0.0007390667023191872,0.0,0.47026490669591337,0.00022755504212541717,0.0003947215337604049,0.0,5.903677019554185e-05,4.322565554204711e-05
DRR171487,0.011544675633953961,0.6313561234254423,1.0872340949162095e-05,0.0,0.0,0.341362687506587,0.0,0.0003200726112490017,0.013697864060953802,0.0,8.088544370889483e-05,0.0,0.00018199130284543048,0.00029784420603980833
DRR171488,0.005617365874333305,0.08991413956816602,0.00017753280417218313,0.0,5.329709062261976e-05,0.05792051317822051,0.0,0.0,0.8439933550358424,0.0007209715104215027,0.0,0.0,0.0,0.0
DRR171497,0.030930927076215503,0.5777726657039598,2.8961045058304248e-05,0.0,0.0,0.2805407500739799,0.0008998804903438698,0.0,0.10794041301719945,0.0,0.0,0.0,0.00015990125135538334,0.0
DRR171499,0.005256517735427584,0.7348855979568654,0.0,0.0,0.0,0.2549052640419765,1.016933370308503e-05,0.0,0.003915424472932178,1.1026266834038181e-05,0.0,0.0,1.7952244942300072e-05,0.0
DRR171500,0.015661794025551068,0.41188826860427014,4.639888307527198e-05,0.0,0.0,0.4959130381478064,0.0,0.0,0.031007461996086942,1.7000780983102583e-05,8.022826941514707e-05,1.2646370761841732e-05,1.111603226229324e-05,0.04378710457995398
DRR171503,0.0017772282289019552,0.6281429560504215,0.0,0.0,0.0,0.30890502494099853,0.0445402120731676,0.0,0.014980323326102706,4.5523646686609384e-05,2.0993551804764866e-05,0.0,3.8238072186562346e-05,0.0
DRR171506,0.009929084388130456,0.5152078678462845,1.8063238050829306e-05,0.0,0.0,0.4434968774042004,0.003678312523616544,0.0,0.026100991577809245,0.0,1.29268569843988e-05,0.0,1.1231572489977724e-05,0.0
