SampleName,Actinobacteria,Aquificae,Bacteroidetes,Candidatus_Saccharibacteria,Chlorobi,Chloroflexi,Cyanobacteria,Deinococcus-Thermus,Dictyoglomi,Elusimicrobia,Firmicutes,Fusobacteria,Lentisphaerae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermotogae,Unclassified_Bacteria,Verrucomicrobia
ERR011117,0.03852998512650512,0.0,0.4496067466046031,6.485124283273006e-05,1.248017691418973e-05,0.0,0.0,4.3108889989026115e-05,0.0,0.0,0.40101002655983703,0.00015632011425474498,0.003193554230048061,6.932337871473922e-05,0.06200943578147152,0.00013620352234566276,4.6571796166707396e-05,0.0002083758757916302,0.0,0.0005184806791487141,0.040376342484172836
ERR011118,0.03896061668459282,0.0,0.4559164950589031,2.9518505398327844e-05,0.0,0.0,0.0,1.8751356307927082e-05,0.0,0.0,0.3952372232756551,0.00014751279187653356,0.0028611508710249325,0.0,0.06105670403432219,0.00014904862220862762,4.4570791131899705e-05,0.00014090610453198666,0.0,0.0005139466086412742,0.04096032241485554
ERR011119,0.039837134999909936,0.0,0.47298711756352074,2.2239786216284166e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.3868747549835325,6.563535778951055e-05,0.0018076658478066079,0.0,0.05134172401186492,0.00015013892646255358,4.5200409456630054e-05,4.906078572066334e-05,0.0,0.00026039539943274845,0.042892220829145636
ERR011120,0.027743522415788462,0.0,0.47227117498525534,2.1263160384001842e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.4083645506819327,0.00016243059909805673,0.0017679472122726074,0.0,0.05054637052609475,0.0001693394253685057,3.9182892182137785e-05,0.00018521387252097644,0.0,0.0005877611631742631,0.03382705444248634
ERR011121,0.025518812478021652,0.0,0.47547404972632623,1.9613411388223133e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.41166120234357445,0.0001580805576644574,0.0015002074681125888,0.0,0.0477591450263381,0.00017597458525056938,4.208066372026189e-05,0.00020126341558473825,0.0,0.0006949654200516386,0.03249499484933514
ERR011122,0.034970750243654355,0.0,0.47633051724394015,2.9755060225042186e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.39108338899147377,6.505430993926603e-05,0.0013709946276856436,0.0,0.04918923535976204,0.00015381386882640124,5.186466973443621e-05,0.00011782284414984334,0.0,0.00026463918149953757,0.042493162583181046
ERR011123,0.034703830051469264,0.0,0.47714811884236924,2.478291998584592e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.39171546749567604,5.0770263191805586e-05,0.0013558115890153438,0.0,0.048770359481171574,0.00015087538902443045,5.6698772254438896e-05,6.848324957892055e-05,0.0,0.0002768004874591768,0.04176551004069842
ERR011126,0.0044389001038137605,0.0,0.4344903533409977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347195888201362,0.0,1.7305326271303823e-05,3.745668684669118e-05,0.20900616330111385,0.0,1.1735749536466592e-05,2.3435135072253955e-05,0.0,0.0004558395065492669,0.0016224901816240772
ERR011127,0.004011113332229945,0.0,0.42898734039487957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3543810988519774,0.0,1.4004107212797058e-05,0.0,0.20787944455832616,0.0,0.0,1.2690146093661273e-05,0.0,0.000503236150856687,0.0015249441572355309
ERR011128,0.005420212314198261,0.0,0.3104048282722704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3950288790772831,0.0,0.0,0.0,0.28418796774188604,1.3887324690152106e-05,1.3952823954364755e-05,1.2595202473596671e-05,0.0,0.0003404686807400312,0.0021645253701676266
ERR011131,0.0033237618591336333,0.0,0.665818609829697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32206927092120446,2.8266586104409526e-05,0.000299611089179711,2.7036115537544792e-05,0.005349930074867069,1.3461962129320007e-05,0.0,0.0,0.0,0.0011346014733317085,0.0002246683563324003
ERR011132,0.002385492004933246,0.0,0.6796371698250274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3104445938360874,2.094794239980112e-05,0.00025359898861787545,3.1000462877155247e-05,0.004356856436698205,1.4049533545560538e-05,1.0723367905697217e-05,0.0,0.0,0.0012254588231120206,0.00013443059805322042
ERR011133,0.0030934254357845984,0.0,0.5986192544267706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39210264675651413,2.8012609630623583e-05,2.3524678861976355e-05,0.0,0.0034762851032743183,2.371930978106392e-05,1.4771101082715684e-05,0.0,0.0,0.001000675776312517,0.00022211446442457294
ERR011140,0.022633291261377465,0.0,0.6707387074913013,3.4055899285704854e-05,0.0,0.0,0.0,1.1987819711176704e-05,0.0,0.0,0.2793792630048559,0.0,0.0,1.626645130303651e-05,0.025773559474004486,9.639090018653933e-05,0.0,0.0,0.0,1.655036847449024e-05,0.0
ERR011141,0.02066378455394695,0.0,0.6758735686246463,1.6240291190225094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.27520860824529725,0.0,0.0,0.0,0.02686302386514854,8.255961479836786e-05,0.0,0.0,0.0,1.3917567099780835e-05,0.0
ERR011142,0.018274674117252285,0.0,0.3829551935370249,0.0,0.0,0.0,1.0902187733156532e-05,0.0,0.0,0.0,0.550282263648943,1.0869577240195742e-05,2.7633653108753112e-05,3.0381828203004315e-05,0.02947326353149595,0.00014836178243596824,0.0,0.0,0.0,0.008128807137491898,0.0080265249187731
ERR011143,0.001005147831154315,0.0,0.4081701884911408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5772267151623326,0.0,1.0545604229591662e-05,1.4319820697211765e-05,0.002572253406988386,0.0002631835388710592,0.0,1.0914209720775793e-05,0.0,0.007343634752534367,0.0013708397992643
ERR011148,0.0019487660586392436,0.0,0.6613518819243666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3319044450715679,0.0,0.0,0.0,0.0008748006448016502,0.00024312287067754912,0.0,0.00019481751187443077,0.0,0.0012837206091222298,0.0001344093440041985
ERR011150,0.027891442296721438,0.0,0.4753813465369469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3703902977088657,6.899396272716103e-05,0.0005028167078399504,0.0,0.09865464630658595,0.0004974990309876293,0.0,0.0,0.0,0.0026619737627718346,0.020844047546367973
ERR011153,0.002744193446247783,0.0,0.5697922403479089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4159506681059271,0.0,0.0,0.0,0.000508313962482909,7.48154606303849e-05,0.0,0.0001357361610141457,0.0,0.007939635217679467,0.0006599552004521035
ERR011156,0.006537720586449948,0.0,0.5970521189708776,1.0539040691860887e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.36404926429304585,4.362663692899727e-05,5.905256177438431e-05,0.0,0.019684839913935565,8.86114909587963e-05,4.286832255940492e-05,7.661402488769067e-05,0.0,0.00482117653936089,0.004082088066461183
