SampleName,Actinobacteria,Bacteroidetes,Candidatus_Gracilibacteria,Candidatus_Saccharibacteria,Chloroflexi,Cyanobacteria,Deinococcus-Thermus,Elusimicrobia,Firmicutes,Fusobacteria,Kiritimatiellaeota,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unclassified_Bacteria,Verrucomicrobia
SRR5898936,0.03222967687506726,0.6330082161654471,1.0964900352015953e-05,3.927282935018211e-05,0.0,2.3184064204882198e-05,1.0503756723138936e-05,0.0001805624909724537,0.28834793657913094,0.0,0.0,0.001087187817339725,0.03657447569775562,3.0583342106524304e-05,0.00011946007997301643,0.0001317136365320047,0.0005613274667099512,0.001175884931041731
SRR5898937,0.01784440775118997,0.5779633116776426,0.0,2.4513868954566407e-05,0.0,0.0,0.0,0.0,0.36377918744450505,1.0159486079801232e-05,0.0,0.0005662418215842572,0.028477417279679156,5.127600460109448e-05,1.0682111271355457e-05,1.3576431644075228e-05,0.0006925243067523619,0.005688235467221658
SRR5898938,0.013575853283058026,0.7336839745351108,0.0,2.600333475167222e-05,0.0,1.4818032398018409e-05,0.0,0.0,0.15325101010007272,1.0477774534956616e-05,0.0,0.0,0.09477966064446579,1.0581741175863436e-05,0.0,1.1767201059094352e-05,0.00019338507996607482,0.00032300913066509785
SRR5898939,0.006721484023146469,0.6976510484412267,0.0,3.178530992474085e-05,0.0,1.117972721786369e-05,1.292376154775147e-05,0.0,0.27101509630914883,0.00011640050650392787,0.0,0.0,0.02061735098417985,0.0,0.0,2.7766904190450894e-05,0.0005612076765107108,0.0003344664051798369
SRR5898940,0.005592518574223528,0.44463227247559123,0.0,0.0,0.0,0.0,0.0,0.0,0.5157077138569186,0.0,0.0,0.0,0.031808769187587585,0.0,0.0,0.0,8.08181154116229e-05,6.436248484664458e-05
SRR5898941,0.007417713475492919,0.26642614304954765,0.0,4.3701420181722384e-05,0.0,0.0,0.0,0.0,0.6319371364452148,0.0,0.0,0.0006851854974606517,0.047716465860415426,1.5162402498161011e-05,0.0,1.0976243875588196e-05,0.00027990253689214186,0.04143429960774658
SRR5898942,0.011742745791300364,0.6787457967211418,0.0,8.971060893138452e-05,0.0,1.0294974741848304e-05,0.0,0.0,0.2822500218887947,1.81893770771965e-05,0.0,4.451688881187152e-05,0.023405161331861577,0.0,1.1751895957634626e-05,2.0836248504798958e-05,0.000132389020629127,0.0002254414390441358
SRR5898943,0.01261563301446005,0.30100447938389446,0.0,6.204508074617471e-05,0.0,0.0,0.0,0.0,0.6412253403913629,5.945756864467507e-05,0.0,0.00010592058137038966,0.041041841059240275,3.4480493813847013e-05,0.0,0.0,0.00043426193224382486,0.0
SRR5898944,0.011737832087085965,0.6182996155820025,0.0,3.760863696413523e-05,0.0,0.0,0.0,0.0,0.35149102809430105,1.119049531126469e-05,0.0,0.00024955711530324294,0.01184258162695291,0.0,0.000272167442705641,1.3788235552842569e-05,0.00014639127620961792,0.0020527583535060122
SRR5898945,0.005727576759434178,0.6297318053578097,0.0,0.0,0.0,0.0,0.0,0.0,0.2990022567175458,0.00010756596633780146,0.0,1.4202288254126249e-05,0.054563656061361175,0.0,0.0,0.0,0.0,0.008176432072345474
SRR5898946,0.014758083384160627,0.8226366196325332,0.0,0.0,0.0,0.0,0.0,0.0,0.15090137345197552,1.0984003365888167e-05,0.0,0.0,0.009096420107522544,0.0,0.0,0.0,1.7785101751183122e-05,0.0
SRR5898947,0.01619378915483079,0.656627079253879,0.0,0.0,0.0,0.0,0.0,0.0,0.17823350363647397,0.0,0.0,7.512554215433423e-05,0.14592723638504326,1.0226857371229671e-05,0.0,0.0,1.0703321994338867e-05,0.0
SRR5898948,0.02328934298841307,0.8777465762986475,0.0,0.0,0.0,0.0,0.0,0.0,0.08589893906832882,0.0,0.0,0.0,0.01024846586251576,0.0,0.0,0.0,0.00011029224612912754,0.0008469596391436038
SRR5898949,0.04480408802495194,0.43870851378586373,0.0,0.0,0.0,0.0,0.0,0.0,0.4118539978158351,0.00016033342379537637,0.0,0.0,0.09671426088471266,0.0,0.0,0.0,0.00036175264571463656,0.004792198153317847
SRR5898950,0.1312741738973707,0.4375094914873418,0.0,0.0,0.0,0.0,0.0,0.0,0.4173310902013595,0.0,0.0,0.0,0.010180021535528572,3.67578995201164e-05,7.825331520037068e-05,3.0986847869038065e-05,1.606478471400441e-05,0.00023728846120415125
SRR5898951,0.06195657720011744,0.24255413120238353,0.0,0.0001076509707339839,0.0,0.0,0.0,0.0,0.6753775572709293,0.0,0.0,0.0,0.013236241844489226,2.7559698187907264e-05,3.997016783196966e-05,0.0003290321964477567,0.00011902002765369132,0.0010844086844281184
SRR5898952,0.01482597815441018,0.6828425094123508,0.0,5.049849303272e-05,0.0,0.0,0.0,0.0,0.17685318323242957,0.0,0.0,0.0,0.12302767956574394,0.0,0.0,3.686711631795951e-05,1.7288564596621193e-05,0.0
SRR5898953,0.1221899115710035,0.39681262598839884,0.0,0.00018246732075740915,0.0,0.0,0.0,0.0,0.4751885930820475,0.0,0.0,0.0,0.0021832537411386782,0.0,0.0,0.0,0.00033764865438590664,1.7843744721971392e-05
SRR5898954,0.025638826472599883,0.7194081175285735,0.0,2.4744863241614583e-05,0.0,0.0,0.0,0.0,0.1042629886853251,1.1817460410979934e-05,0.0,0.0,0.14642616807831557,0.0,0.0,0.0,0.00014582517002640607,0.0
SRR5898955,0.01060817609372018,0.5681129857988326,0.0,2.9436309155920344e-05,0.0,0.0,0.0,0.0,0.3941593867303998,0.0,0.0,0.0,0.02366856027680359,0.0,0.0,2.647473347803117e-05,0.0003728947084224041,0.0
SRR5898956,0.012301113116511924,0.9002793008615194,0.0,0.0,0.0,0.0,0.0,0.0,0.07377087715112005,0.0,0.0,0.0,0.011717192708970097,0.0,0.0,0.0,4.635022379405382e-05,0.00013996609691624342
SRR5898957,0.01795820626242029,0.5915063428939669,0.0,0.00027071468365893065,0.0,0.0,0.0,0.0,0.38104500808490527,0.0,0.0,0.0,0.004427469206826585,1.1714661770532194e-05,0.0,1.0335046536027844e-05,0.0002843386635382072,0.0005527153675112589
SRR5898958,0.00807003417620763,0.6468154068344125,0.0,0.0,0.0,0.0,0.0,0.0,0.16819886763235162,0.0,0.0,0.0,0.17393290977128523,0.0,0.0,0.0,0.000278901057320556,0.00044890153111183954
SRR5898959,0.004032177154751814,0.7610278811045555,0.0,0.0,0.0,0.0,0.0,0.00046942935278929647,0.2073693399454122,0.0,0.0,0.0,0.0028909189219508678,0.0,0.00021754732572257937,6.783221685904088e-05,0.00014922817147115049,0.02028092546981522
SRR5898960,0.04505825201990424,0.11344113963299696,0.0,1.127056357462052e-05,0.0,0.0,0.0,0.0,0.3638414125144696,0.0,0.0,0.0,0.023511612971503795,0.0001580224514551359,1.8468007157671577e-05,0.0,0.0,0.45167521549515616
SRR5898961,0.012261492155484539,0.6639451987354835,0.0,0.0,0.0,0.0,0.0,0.0,0.3080570961873845,0.00025145459879670826,0.0,0.0,0.01296448014483324,0.0,1.1910746445956669e-05,0.0,4.6486686773430126e-05,6.313356549083055e-05
SRR5898962,0.008152291844917031,0.3751470501263048,0.0,2.0964738548946247e-05,0.0,0.0,0.0,0.0,0.5730121243431221,0.0,0.0,0.0,0.03998255045070899,0.0,0.0,0.00014401457079926854,5.152962620931772e-05,0.0
SRR5898963,0.07615999864768445,0.3259598278533078,0.0,1.6379781538264664e-05,0.0,0.0,0.0,0.0,0.5531358902614255,0.0,0.0,0.0,0.04155125098154597,0.0,1.0951133475052902e-05,0.0,1.2303613597649894e-05,0.00011659569066062337
SRR5898964,0.027542162098488983,0.7585899973968948,0.0,0.0,0.0,0.0,0.0,0.0,0.2085638690587004,0.0,0.0,0.0,0.003454452177734443,0.0,0.0,0.0,1.2878271328758646e-05,0.0
SRR5898965,0.17719397933659062,0.46775686157543467,0.0,0.00015602143633361285,0.0,0.0,0.0,0.0,0.33691696730160137,1.0238001565794833e-05,0.0,0.0,0.012505746398403152,1.1311847714883e-05,0.0,0.0005426435088674079,0.00021763234384711158,3.844977525986495e-05
SRR5898966,0.018001979340274664,0.8799262981203928,0.0,0.0,0.0,0.0,0.0,0.0,0.09241570407649907,0.0,0.0,0.0,0.00661094276149567,0.0,0.0,0.0,1.2043463552200067e-05,0.0
SRR5898967,0.05879006997463412,0.26477703598083435,0.0,1.4354498439298333e-05,0.0,1.3262459900695356e-05,0.0,0.0,0.6551358827301574,0.0,0.0,0.0,0.018245235580512373,0.0,0.0,2.5252186987433124e-05,2.5460509365108615e-05,1.228048530225798e-05
SRR5898968,0.00611391860199773,0.8181362886065351,0.0,0.0,0.0,0.0,0.0,0.0,0.14266188623990755,0.0,0.0,0.0,0.03049897734399123,0.0,0.0,0.0,0.0,0.0006359720584235522
SRR5898969,0.006502454867323088,0.8630141017023677,0.0,0.0,0.0,0.0,0.0,0.0,0.10307483454870113,0.0,0.0,0.0,0.024736040022665502,0.0,1.4169513640168399e-05,0.0,0.0,0.0
SRR5898970,0.029760367646888917,0.5355085727243809,0.0,4.492226564597616e-05,0.0,0.0,0.0,0.0,0.3976456504352414,0.0,0.0,0.00036722166419225793,0.03332156145358918,1.0107459000321968e-05,0.0,0.0,5.287151348985157e-05,1.3238844078702174e-05
SRR5898971,0.0038775125786519736,0.003714651371454201,0.0,1.7329520258269882e-05,0.0,0.0,0.0,0.0,0.7445517452062524,0.029425260011076065,0.0,0.0,0.2162487306829644,1.3466235000135805e-05,0.0,0.0,0.00014407907582554655,0.0
SRR5898972,0.00557014401560991,0.8265625965870658,0.0,1.1904377015790156e-05,0.0,0.0,0.0,0.0,0.15771976403171,0.0,0.0,0.0,0.007865908415178294,0.0,0.0,1.6427290593595072e-05,0.00011074408564642434,0.0
SRR5898973,0.01329807666844552,0.648642569060731,0.0,0.00013137011016134983,0.0,1.1944702735319459e-05,0.0,0.0,0.2664174093950714,0.0,0.0,0.0,0.06845355206692064,0.0,0.0,1.6486061600125687e-05,1.398053792799905e-05,0.0
SRR5898974,0.007524161620199039,0.6464682652457212,0.0,0.0,0.0,0.0,0.0,0.0,0.19117080945168294,0.0,0.0,0.0,0.15183256332703124,0.0,0.0,0.0,0.0,1.3688568804577695e-05
SRR5898976,0.01269568278894097,0.6954185340931776,0.0,0.0,0.0,1.0117413898916646e-05,0.0,2.4233351148739223e-05,0.2717408179414909,0.0,0.0,9.52550723762554e-05,0.01614492496705503,0.0,0.0,0.0,0.0,0.0012269169673478045
SRR5898977,0.01504412746414622,0.9356710687456027,0.0,0.0,0.0,0.0,0.0,0.0,0.027946350564306,0.0017237428203483213,0.0,0.0,0.016504755802885414,0.0002591773294798194,0.0,0.0,0.0,0.0
SRR5898978,0.015062182714671123,0.3839747009944305,0.0,0.0,0.0,0.0,0.0,0.0,0.48932660141155093,0.0,0.0,0.0,0.11014187953803205,0.0,0.0,0.0,0.0,0.0
SRR5898979,0.018164212820987673,0.6836650474147985,0.0,1.2091113123258233e-05,0.0,0.0,0.0,0.0,0.28884505093974,0.0,0.0,0.0,0.005361563630584515,0.0,0.0,0.0,1.4704936324311215e-05,0.0008069766750866531
SRR5898980,0.12786382983915043,0.5446260722839747,0.0,1.1429859548757444e-05,0.0,0.0,0.0,0.0,0.2640765730508077,0.0,0.0,2.982952066391517e-05,0.036502693822418206,0.0,0.0,0.0,4.695320729605318e-05,0.024095501112220558
SRR5898981,0.008289333923295866,0.3745288684897932,0.0,1.46367085126821e-05,0.0,0.0,0.0,0.0,0.5738758020526835,0.0,0.0,0.0,0.039625629728597137,0.0,0.0,0.00010289328628195549,4.5096733549432544e-05,0.0
SRR5898982,0.017941900345316526,0.646644817970494,0.0,0.0,0.0,0.0,0.0,5.110811972071599e-05,0.2991094684751001,2.520632832848619e-05,0.0,0.0,0.03156962019929862,0.0,0.0,4.612379221458679e-05,0.00015434488841949598,0.0008272096799534155
SRR5898983,0.08036033796528562,0.007345669434267349,0.0,5.6806629286939904e-05,0.0,0.0,0.0,0.0,0.8684186696497155,0.0,0.0,0.0,0.041394692978579506,0.0,1.2743316814013273e-05,0.0,0.0,0.0
SRR5898984,0.02332352822768476,0.7801878847310221,0.0,0.0,0.0,0.0,0.0,0.0,0.1652232179604147,0.0,0.0,0.0,0.02875198182754622,0.0,0.0,0.0,1.2078337743731242e-05,4.982340969092901e-05
