Bacteria,ID
Prevotella_ihumii,Regular
Ruminococcus_gnavus,Regular
Bacteroides_caecimuris,Regular
Hungatella_hathewayi,Regular
Bacteroides_cellulosilyticus,Regular
Odoribacter_splanchnicus,Regular
Bariatricus_massiliensis,Regular
Clostridium_saccharogumia,Regular
Roseburia_intestinalis,Regular
Erysipelotrichaceae_bacterium_GAM147,Regular
Blautia_hansenii,Regular
Odoribacter_laneus,Regular
Ruminococcus_bromii,Regular
Roseburia_faecis,Regular
Bacteroides_coprophilus,Regular
Anaerostipes_hadrus,Regular
Clostridium_sp_SY8519,Regular
Bacteroides_faecichinchillae,Regular
Ruminococcus_bicirculans,Regular
Intestinibacillus_massiliensis,Regular
Sellimonas_intestinalis,Regular
Coprobacter_fastidiosus,Regular
Provencibacterium_massiliense,Regular
Faecalicatena_contorta,Regular
Clostridium_phoceensis,Regular
Streptococcus_thermophilus,Regular
Fusicatenibacter_saccharivorans,Regular
Butyricicoccus_pullicaecorum,Regular
Catenibacterium_mitsuokai,Regular
Bacteroides_vulgatus,Regular
Bacteroides_salanitronis,Regular
Haemophilus_parainfluenzae,Regular
Eubacterium_oxidoreducens,Regular
Stomatobaculum_longum,Regular
Johnsonella_ignava,Regular
Clostridium_aminophilum,Regular
Gemmiger_formicilis,Regular
Clostridium_glycyrrhizinilyticum,Regular
Bacteroides_caccae,Regular
Ruminococcus_lactaris,Regular
Ruminococcus_flavefaciens,Regular
Christensenella_minuta,Regular
Prevotella_timonensis,Regular
Merdibacter_massiliensis,Regular
Prevotella_stercorea,Regular
Butyricimonas_synergistica,Regular
Roseburia_hominis,Regular
Faecalibaculum_rodentium,Regular
Intestinibacter_bartlettii,Regular
Paraprevotella_xylaniphila,Regular
Butyricimonas_faecalis,Regular
Lachnospiraceae_bacterium_Choco86,Regular
Pseudoflavonifractor_capillosus,Regular
Lactobacillus_rogosae,Regular
Dorea_longicatena,Regular
Ruminococcus_faecis,Regular
Ruminococcus_callidus,Regular
Angelakisella_massiliensis,Regular
Parabacteroides_goldsteinii,Regular
Merdimonas_faecis,Regular
Bacteroides_pyogenes,Regular
Bacteroides_zoogleoformans,Regular
Parabacteroides_sp_CT06,Regular
Bacteroides_dorei,Regular
Holdemanella_biformis,Regular
Bacteroides_heparinolyticus,Regular
Lachnoanaerobaculum_saburreum,Regular
Lactonifactor_longoviformis,Regular
Lachnoclostridium_phocaeense,Regular
Eubacterium_eligens,Regular
Clostridium_sporogenes,Regular
Blautia_hydrogenotrophica,Regular
Fournierella_massiliensis,Regular
Veillonella_dispar,Regular
Acetivibrio_ethanolgignens,Regular
Parabacteroides_distasonis,Regular
Emergencia_timonensis,Regular
Lachnospiraceae_bacterium_GAM79,Regular
Faecalicoccus_pleomorphus,Regular
Barnesiella_intestinihominis,Regular
Anaerotignum_neopropionicum,Regular
Clostridium_asparagiforme,Regular
Eubacterium_ventriosum,Regular
Alistipes_ihumii,Regular
Parasutterella_excrementihominis,Regular
Marvinbryantia_formatexigens,Regular
Monoglobus_pectinilyticus,Regular
Bacteroides_pectinophilus,Regular
Blautia_sp_N6H1-15,Regular
Levyella_massiliensis,Regular
Barnesiella_viscericola,Regular
Clostridium_symbiosum,Regular
Dorea_formicigenerans,Regular
Bacteroides_fragilis,Regular
Agathobaculum_desmolans,Regular
Phocea_massiliensis,Regular
Negativibacillus_massiliensis,Regular
Blautia_schinkii,Regular
Eubacterium_ramulus,Regular
Mordavella_sp_Marseille-P3756,Regular
Hespellia_stercorisuis,Regular
Bacteroides_uniformis,Regular
Traorella_massiliensis,Regular
Eisenbergiella_tayi,Regular
Tyzzerella_nexilis,Regular
Eubacterium_plexicaudatum,Regular
Coprobacter_secundus,Regular
Clostridium_scindens,Regular
Massilimaliae_massiliensis,Regular
Blautia_obeum,Regular
Bacteroides_barnesiae,Regular
Clostridium_innocuum,Regular
