Bacterial_Strain,Accession,TaxID,Species,Genus,Family,Order,Class,Phylum
Wolbachia_endosymbiont_strain_TRS_of_Brugia_malayi,NC_006833.1,292805,Wolbachia_endosymbiont_of_Brugia_malayi,Wolbachia,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria
Mycoplasma_hyopneumoniae_232_strain232,NC_006360.1,295358,Mycoplasma_hyopneumoniae,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes
Bacillus_anthracis_str_'Ames_Ancestor'_strainAmes_Ancestor;_A2084,NC_007530.2,261594,Bacillus_anthracis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Idiomarina_loihiensis_L2TR_strainL2TR,NC_006512.1,283942,Idiomarina_loihiensis,Idiomarina,Idiomarinaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria
Legionella_pneumophila_subsp_pneumophila_str_Philadelphia_1_strainPhiladelphia_1,NC_002942.5,272624,Legionella_pneumophila,Legionella,Legionellaceae,Legionellales,Gammaproteobacteria,Proteobacteria
Bacillus_thuringiensis_serovar_konkukian_str_9727_strain9727,NC_005957.1,281309,Bacillus_thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Helicobacter_pylori_26695_strain26695,NC_000915.1,85962,Helicobacter_pylori,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria
Thermotoga_maritima_MSB8_strainMSB8,NC_000853.1,243274,Thermotoga_maritima,Thermotoga,Thermotogaceae,Thermotogales,Thermotogae,Thermotogae
Deinococcus_radiodurans_R1_strainR1,NC_001263.1,243230,Deinococcus_radiodurans,Deinococcus,Deinococcaceae,Deinococcales,Deinococci,Deinococcus-Thermus
Mycobacterium_tuberculosis_CDC1551_strainCDC1551,NC_002755.2,83331,Mycobacterium_tuberculosis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria
Aquifex_aeolicus_VF5_strainVF5,NC_000918.1,224324,Aquifex_aeolicus,Aquifex,Aquificaceae,Aquificales,Aquificae,Aquificae
Borreliella_burgdorferi_B31_strainB31,NC_001318.1,224326,Borreliella_burgdorferi,Borreliella,Borreliaceae,Spirochaetales,Spirochaetia,Spirochaetes
Chlamydia_trachomatis_DUW3CX_strainDUW3CX,NC_000117.1,272561,Chlamydia_trachomatis,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae
Chlamydia_pneumoniae_CWL029_strainCWL029,NC_000922.1,115713,Chlamydia_pneumoniae,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae
Clostridium_acetobutylicum_ATCC_824_strainATCC_824,NC_003030.1,272562,Clostridium_acetobutylicum,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes
Helicobacter_pylori_J99_strainJ99,NC_000921.1,85963,Helicobacter_pylori,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria
Neisseria_meningitidis_MC58_strainMC58,NC_003112.2,122586,Neisseria_meningitidis,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria
Escherichia_coli_O157:H7_str_Sakai_strainSakai_substr_RIMD_0509952,NC_002695.2,386585,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis,NC_004344.2,36870,Wigglesworthia_glossinidia,Wigglesworthia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Lactobacillus_salivarius_UCC118_strainUCC118,NC_007929.1,362948,Lactobacillus_salivarius,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes
Bifidobacterium_longum_DJO10A_strainDJO10A,NC_010816.1,205913,Bifidobacterium_longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria
Francisella_tularensis_subsp_tularensis_SCHU_S4_strainSCHU_S4,NC_006570.2,177416,Francisella_tularensis,Francisella,Francisellaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria
Staphylococcus_aureus_RF122_strainRF122,NC_007622.1,273036,Staphylococcus_aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes
Dehalococcoides_mccartyi_CBDB1_strainCBDB1,NC_007356.1,255470,Dehalococcoides_mccartyi,Dehalococcoides,Dehalococcoidaceae,Dehalococcoidales,Dehalococcoidia,Chloroflexi
Bacillus_subtilis_subsp_subtilis_str_168_strain168,NC_000964.3,224308,Bacillus_subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Yersinia_pestis_CO92_strainCO92,NC_003143.1,214092,Yersinia_pestis,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Campylobacter_jejuni_subsp_jejuni_NCTC_11168__ATCC_700819_strainNCTC_11168,NC_002163.1,192222,Campylobacter_jejuni,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria
Neisseria_meningitidis_Z2491_strainZ2491,NC_003116.1,122587,Neisseria_meningitidis,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria
Ralstonia_solanacearum_GMI1000_strainGMI1000,NC_003295.1,267608,Ralstonia_solanacearum,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
Nitrosomonas_europaea_ATCC_19718_strainATCC_19718,NC_004757.1,228410,Nitrosomonas_europaea,Nitrosomonas,Nitrosomonadaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria
Xanthomonas_campestris_pv_vesicatoria_str_8510_strain8510,NC_007508.1,316273,Xanthomonas_euvesicatoria,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
Clostridioides_difficile_630_strain630,NC_009089.1,272563,Clostridioides_difficile,Clostridioides,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes
Pseudomonas_fluorescens_SBW25_strainSBW25,NC_012660.1,216595,Pseudomonas_fluorescens,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Francisella_tularensis_subsp_holarctica_LVS_strainLVS,NC_007880.1,376619,Francisella_tularensis,Francisella,Francisellaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria
Rhizobium_leguminosarum_bv_viciae_3841_strain3841,NC_008380.1,216596,Rhizobium_leguminosarum,Rhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Cupriavidus_necator_H16_strainH16,NC_008313.1,381666,Cupriavidus_necator,Cupriavidus,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
Helicobacter_acinonychis_str_Sheeba_strainSheeba,NC_008229.1,382638,Helicobacter_acinonychis,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria
Francisella_tularensis_subsp_tularensis_FSC198_strainFSC_198,NC_008245.1,393115,Francisella_tularensis,Francisella,Francisellaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria
Yersinia_enterocolitica_subsp_enterocolitica_8081_strain8081,NC_008800.1,393305,Yersinia_enterocolitica,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Alcanivorax_borkumensis_SK2_strainSK2,NC_008260.1,393595,Alcanivorax_borkumensis,Alcanivorax,Alcanivoracaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria
Streptococcus_pyogenes_str_Manfredo_strainManfredo,NC_009332.1,160491,Streptococcus_pyogenes,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Staphylococcus_carnosus_subsp_carnosus_TM300_strainTM300,NC_012121.1,396513,Staphylococcus_carnosus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes
Lactococcus_lactis_subsp_cremoris_MG1363_strainMG1363,NC_009004.1,416870,Lactococcus_lactis,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Mycobacterium_tuberculosis_variant_bovis_BCG_str_Pasteur_1173P2_strainBCG_Pasteur_1173P2,NC_008769.1,410289,Mycobacterium_tuberculosis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria
Neisseria_meningitidis_FAM18_strainFAM18,NC_008767.1,272831,Neisseria_meningitidis,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria
Burkholderia_cenocepacia_J2315_strainJ2315,NC_011000.1,216591,Burkholderia_cenocepacia,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
Salmonella_enterica_subsp_enterica_serovar_Enteritidis_str_P125109_strainP125109,NC_011294.1,550537,Salmonella_enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Salmonella_enterica_subsp_enterica_serovar_Gallinarum_str_28791_strain28791,NC_011274.1,550538,Salmonella_enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Streptococcus_uberis_0140J_strain0140J,NC_012004.1,218495,Streptococcus_uberis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Escherichia_coli_BL21(DE3)_strainBL21(DE3),NC_012892.2,469008,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Staphylococcus_aureus_subsp_aureus_ST398_straintype_strain:ST398,NC_017333.1,523796,Staphylococcus_aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes
Buchnera_aphidicola_str_APS_(Acyrthosiphon_pisum)_strainAPS,NC_002528.1,107806,Buchnera_aphidicola,Buchnera,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Mesorhizobium_japonicum_MAFF_303099_strainMAFF_303099,NC_002678.2,266835,Mesorhizobium_japonicum,Mesorhizobium,Phyllobacteriaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Staphylococcus_aureus_subsp_aureus_N315_strainN315,NC_002745.2,158879,Staphylococcus_aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes
Staphylococcus_aureus_subsp_aureus_Mu50_strainMu50,NC_002758.2,158878,Staphylococcus_aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes
Clostridium_perfringens_str_13_strain13,NC_003366.1,195102,Clostridium_perfringens,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes
Nostoc_sp_PCC_7120,NC_003272.1,103690,Nostoc_sp_PCC_7120_=_FACHB-418,Unclassified_Cyanobacteria,Unclassified_Cyanobacteria,Unclassified_Cyanobacteria,Unclassified_Cyanobacteria,Cyanobacteria
Vibrio_vulnificus_YJ016_strainYJ016,NC_005139.1,196600,Vibrio_vulnificus,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria
Streptomyces_avermitilis_MA4680__NBRC_14893_strainMA4680,NC_003155.5,227882,Streptomyces_avermitilis,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria
Geobacillus_kaustophilus_HTA426_strainHTA426,NC_006510.1,235909,Geobacillus_kaustophilus,Geobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Nocardia_farcinica_IFM_10152_strainIFM_10152,NC_006361.1,247156,Nocardia_farcinica,Nocardia,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria
Bacillus_clausii_KSMK16_strainKSMK16,NC_006582.1,66692,Bacillus_clausii,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Onion_yellows_phytoplasma_OYM_strainonion_yellows,NC_005303.2,262768,Onion_yellows_phytoplasma,Candidatus_Phytoplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes,Tenericutes
Staphylococcus_haemolyticus_JCSC1435_strainJCSC1435,NC_007168.1,279808,Staphylococcus_haemolyticus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes
Klebsiella_pneumoniae_subsp_pneumoniae_NTUHK2044_strainNTUHK2044,NC_012731.1,484021,Klebsiella_pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Symbiobacterium_thermophilum_IAM_14863_strainIAM14863,NC_006177.1,292459,Symbiobacterium_thermophilum,Symbiobacterium,Symbiobacteriaceae,Clostridiales,Clostridia,Firmicutes
Bacteroides_fragilis_YCH46_strainYCH46,NC_006347.1,295405,Bacteroides_fragilis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
