SampleName,Bacteroides_coprocola,Bacteroides_coprophilus,Bacteroides_pectinophilus,Bacteroides_plebeius,Bacteroides_thetaiotaomicron,Bacteroides_uniformis,Bacteroides_vulgatus,Bifidobacterium_catenulatum,Blautia_obeum,Clostridiales_bacterium_CCNA10,Clostridium_glycyrrhizinilyticum,Coprococcus_comes,Dorea_formicigenerans,Eubacterium_ramulus,Eubacterium_rectale,Faecalibacterium_prausnitzii,Fusicatenibacter_saccharivorans,Intestinimonas_butyriciproducens,Lachnospiraceae_bacterium_GAM79,Mediterranea_massiliensis,Prevotella_copri,Pseudoflavonifractor_capillosus,Roseburia_faecis,Roseburia_intestinalis,Roseburia_inulinivorans,Ruminococcus_faecis,Ruminococcus_lactaris,Tyzzerella_nexilis
SRR5898937,0.008744012007671574,0.0024646414736569145,0.0077079729664957216,0.03477243074406605,0.00963936229437698,0.03218953882843063,0.039305687170822286,0.002912790398256444,0.012044108090328942,0.0037330387065115235,0.00035664825735031526,0.0029376495180431423,0.0024484140775298674,0.0020128714936328757,0.03200045955498735,0.049109078653116416,0.004058614801415141,0.0024230771186968037,0.1158778046169047,0.015587245539876775,0.5336507176190032,0.001100371717024069,0.03772115103171158,0.007297706351673346,0.019848640456813907,0.0021740143760221858,0.012512325057601532,0.005369627077979688
SRR5898938,0.002605839697423742,0.0007734303241231151,0.0008213406411528925,0.0007895738213819259,0.007733233786259555,0.01563108901083418,0.007487761821375308,0.001464460576766674,0.004434698114310241,0.0022371688409730532,0.0002027045291483816,0.0021867851645687494,0.0011962569874699083,0.0009678229891537071,0.0011887557019620654,0.058646180788433616,0.0034034281274765146,0.007056993848324508,0.0036393819016162193,0.011277540659425494,0.8210348990823485,0.0004831332532959456,0.007002545345207607,0.0016404164477560148,0.03203531515854366,0.002447354073150527,0.0005684011973624616,0.001043488110155234
SRR5898939,0.028692759121622266,0.0019172530360495863,0.00209094049415167,0.06270996390628428,0.028129437229710435,0.0412895590994582,0.07212002101411447,0.0012035718267031559,0.0034755939968832703,0.002730400058514467,0.0003138501801370056,0.0029546945052314976,0.0017374920057828746,0.002569728073444713,0.02903458136445982,0.042028662541388935,0.003240202651027963,0.0013896980902249716,0.0521282634155116,0.006115304323133391,0.5013965092800987,0.000908291703345177,0.016189597758677697,0.005313343697717752,0.07460391698479034,0.004282320998674225,0.009041170660369998,0.0023928719824913985
SRR5898940,0.029269485956900772,0.0002878369304550962,0.004251801297413735,0.012940515904738223,0.0016236376916409876,0.12434850427564326,0.06723863531230015,0.002443935333734021,0.009061080115129187,0.0007601468205549831,0.0006354494916950899,0.0009971902786573264,0.0006356836143996535,0.0028216108329296267,0.0052123604215593596,0.08249298052931715,0.004882174823271325,0.0002538498525848464,0.2469396330422738,0.0027564205502405978,0.0001087919142559786,0.0004046747584596031,0.03263656819868672,0.09176310066292646,0.2645695988499239,0.0036160829829146052,0.0010158060596878395,0.0060324434977058
SRR5898941,0.01655037786817254,0.0660391558907725,0.01040481856726629,0.003481515411134218,0.012721482523010462,0.028914125057630552,0.024589193100431107,0.0003507054911541097,0.01681755503097674,0.00753620377289891,0.0009842178397557462,0.0055412712024015395,0.004247276423155945,0.0071157361631591755,0.03048895478577691,0.13848955700569113,0.013958325525873276,0.014160871602858064,0.36536258456209014,0.001800008977340451,0.021159469346139406,0.006149350718711309,0.08976055054996379,0.03452303951938415,0.05970821167888942,0.004928174922123038,0.006889980265074954,0.007327286198164118
SRR5898942,0.0008367779792679673,0.0021038238946052474,0.0017217092945875808,0.00019963372891178082,0.006298289861210911,0.005104544833223897,0.0029299222632475697,7.477290645581798e-05,0.00898651554140098,0.001336457667883703,0.0005627393086299029,0.003304041463849863,0.0021769006109227528,0.0008429993030034415,0.07795143871730974,0.013735173336147766,0.0016330381628739971,0.0010120584111662214,0.02167142369629841,0.024018462734629147,0.7237480798339958,0.00045173660868438734,0.051935653487522306,0.024225766267433082,0.012364321275436149,0.0022208167886712347,0.007238607952249417,0.001314294070380912
SRR5898943,0.0019498023232278911,0.0016203439164064561,0.004831583107359601,0.000756232413706077,0.004290471125218506,0.006869132950415488,0.002204795854911645,0.0002140191266456074,0.03795814772940285,0.002931911775156202,0.0005495813257587437,0.006098805403501267,0.0015951161658854566,0.002221530140087727,0.25562537941765956,0.015586900195034708,0.0042423706143365795,0.0028130686520019556,0.023586434847164432,0.013233840183668024,0.2633491620193664,0.0012759288202496154,0.2115930929394324,0.0687477904495119,0.02568236231203602,0.004904661349451801,0.03159623247098259,0.003671302371420405
SRR5898944,0.0134648650591006,0.002065849023521746,0.0015132396469777238,0.001364858269273978,0.022682244951341357,0.06055101723091556,0.12913259466124194,0.0005851304451225858,0.009910913976967667,0.015516227200697754,0.0003527892066282155,0.001251938101846643,0.0016324661246789323,0.0026102058597271124,0.012991822775049315,0.04639752889235979,0.004608401056427852,0.010156632499613794,0.017011551097273963,0.01965447628541601,0.3877436123174089,0.0029271077866742535,0.159636257167219,0.008676595802092213,0.06039519514827147,0.002469770357788448,0.0012788100590566621,0.003417898997306415
SRR5898945,0.0028173404051109706,0.0016195325235303646,0.0016563870596713092,0.0034764027655336217,0.00959178439352531,0.045712445537053656,0.010089601652390687,0.00013244072401859472,0.009683620042894876,0.0009736419908366421,0.00029611911282922504,0.0006502811373039764,0.0006128758499762713,0.0007298217645286929,0.006890940158273384,0.03932813788512228,0.0025663159189987764,0.002522747667442163,0.14310299833197537,0.01765263090501641,0.6348148310120991,0.0006509008495738503,0.027024757558678177,0.004917730679302761,0.022825786161424114,0.0010593912992892134,0.006658019719391337,0.0019425168942091055
SRR5898946,0.0007884999086396148,0.002065440369481336,0.0003694104759960668,0.000925567933456772,0.0062128543007715495,0.01343281611548799,0.0029005807857657314,0.00018875721758798572,0.0007461461083463133,0.0003627025630056707,7.408502156978678e-05,0.000842621068984339,0.0002490492549663943,0.00029012663219397066,0.06300877380857053,0.0026515296469452,0.000581812636417764,0.0004806777460384595,0.0014393823642680015,0.04391689779392188,0.838733453669837,0.00014709206455612957,0.014799609021591777,0.0017579932596847377,0.0021309464771702784,0.00047096434479204294,0.00010344273139442123,0.0003287666785584035
SRR5898947,0.0678198030929387,0.0026193766010868275,0.00965936094406471,0.03938471658365835,0.004579259419222418,0.04321584939719001,0.029205607161773697,0.0010946456352723636,0.0008689451151252108,0.00036740609462094414,0.0001353703256195626,0.0004669486664058759,0.00036130060690523126,0.00036143380742107985,0.015981270404573734,0.0022665725762155142,0.0005554666727861366,0.000578745936729646,0.004469172622243101,0.01724482324189216,0.7320367219981508,0.00016146294535685518,0.017755522547791565,0.0024002555649508942,0.0023238807207583904,0.0028500866220143423,0.0003242523263757937,0.0009117423688561443
SRR5898948,0.08740046396964278,0.005052126146237672,0.0004191119744949478,0.020052682309554495,0.07437210907790565,0.6408448746933174,0.04594266523008514,0.0068371063781931226,0.002018801521047052,0.0025571790059760848,0.00012103661685469964,0.0016138779056017213,0.001114652232823676,0.0006052259835933068,0.010628322989236556,0.07343442221035798,0.0024345697668470287,0.002869828478710306,0.0036958061948225763,0.007465269631322753,4.810129241472977e-05,0.0012445041490180867,0.002662486669860964,0.0010501054646096322,0.0039752159437901995,0.00044645243432077684,0.0002735351528977253,0.0008194665764630016
SRR5898949,0.1388961849856474,0.00042091081344936335,0.003026078011931973,0.000581211625559783,0.03258158704622936,0.10604621676132252,0.09783137489959412,0.0019242130212775907,0.02136267090581915,0.0011870421169699543,0.0005648250050739229,0.0014168028517676152,0.008530865732388697,0.0021469552624271203,0.22697902714953477,0.09391429629590725,0.0027251595243005704,0.001261168627359217,0.008448425898204406,0.0007798172659735514,6.851909963655552e-05,0.0004485166904487137,0.06807887589041524,0.10123575410507045,0.07069834568931231,0.0045172480305960706,0.001171239850418882,0.0031566668433633
SRR5898950,0.0013517221315303824,0.0005428688665885779,0.000879389752095106,0.0013848973033716509,0.008075835204374392,0.01599294607477869,0.10874035916295509,0.005204924279060226,0.006008708902094819,0.0011032834977829462,0.0001986962248786154,0.0013062327161753136,0.0026056624983096144,0.0007131339149040311,0.03354683759926003,0.037618094604498636,0.0050386632566482405,0.0008425020755828637,0.010031107801000791,0.013069099962209807,0.6914947062402714,0.000349078050484286,0.042190902757613745,0.0054271840499004725,0.004276792539415732,0.0005984046662874204,0.00041447380106851464,0.000993492066858461
SRR5898951,0.0008376109040939633,0.00181384935657298,0.0024681455646614276,0.0004446533855802936,0.014387882015930145,0.053059932197709714,0.0016188179641922337,0.00566454222745151,0.0069909348557988735,0.012551874883468107,0.0005881501587230718,0.002467491587887219,0.0031249613280879573,0.005643673532331657,0.1209267163410383,0.06324408219077021,0.004848374133211291,0.027826699467173595,0.04718795257341514,0.224418525720535,0.29255212045338985,0.004202030329916149,0.059813620074693444,0.006365372097706963,0.02905864899103604,0.0020690918918420593,0.0029005873480656523,0.0029236584247172522
SRR5898952,0.003971537291899364,0.00039195013531603666,0.00039274446481787716,0.016017017373691732,0.0022018757982307856,0.09770834300352123,0.742195902072776,0.0005493186013041127,0.009041679305305023,0.00015837215148162975,0.00021495850311443101,0.0005614807288308554,0.0003182374460584541,0.0006152747545603094,0.03379067323570087,0.04432805298386141,0.0006253554076448696,5.66614009683505e-05,0.001351865942455682,0.0002700685553225243,0.0007605842067235907,0.0003065540316369884,0.020884406197844676,0.011243795599949728,0.004930600532008935,0.000331881430728587,0.00020872220192691553,0.006572086642318911
SRR5898953,0.001036242124158839,0.0015380371410852788,0.0012175111323795716,0.0007934181969917872,0.012552087804722235,0.018966781684903816,0.0009270376858687432,0.019370760226034678,0.008611185449310239,0.005203315653970728,0.000339820255722038,0.0031781841056107763,0.006488128518401857,0.0023859372285391254,0.0029901589432149473,0.24559118674732508,0.004048730776888864,0.005164348651809605,0.02626022441840213,0.06541860397810496,0.5117248164607953,0.001930350211420563,0.028251579066290913,0.004490832192518048,0.013331302151976325,0.0045928199885850104,0.0008771724596575235,0.002719426745311079
SRR5898954,0.0018370119720050562,0.001088345164581612,0.0011311164629550655,0.02428338266602752,0.010675335195101911,0.04885000936968523,0.11596702765724268,0.0028378420407687544,0.0031864455597718304,0.0006657967283586853,0.00011507562092753062,0.005096796002116622,0.00038266802767142636,0.0003877276690287949,0.03652216438658535,0.012201722535362936,0.0009326252419426965,0.0005524201961896304,0.0019141020372703708,0.04072970143714842,0.6743780117098752,0.00035378722029109916,0.0030612845856264116,0.0037191458852153,0.0065259363897970215,0.001458327097700345,0.0003572485927903437,0.0007889425479621742
SRR5898955,0.0021196315884121435,0.0015505924388250494,0.002297681705132124,0.003915961791490917,0.0046652166718641605,0.022195840743779442,0.008758015980268919,0.0004793131778131631,0.00817259761017838,0.002723187382306232,0.0003856177358353867,0.005440243163877425,0.005704665807454792,0.0021509592531916023,0.40638182156166835,0.043204801261213066,0.007006244738609421,0.005076875979437164,0.043975794742176756,0.004911328750134405,0.32987773107246754,0.0011760109266448207,0.05426340411774339,0.004875750058960497,0.018352257340136804,0.007031920233073139,0.0013163436649346123,0.001990190502370265
