SampleName,Alistipes_finegoldii,Alistipes_obesi,Alistipes_putredinis,Alistipes_shahii,Anaerotruncus_colihominis,Angelakisella_massiliensis,Bacteroides_barnesiae,Bacteroides_caecimuris,Bacteroides_coprocola,Bacteroides_dorei,Bacteroides_faecichinchillae,Bacteroides_fluxus,Bacteroides_fragilis,Bacteroides_helcogenes,Bacteroides_plebeius,Bacteroides_salanitronis,Bacteroides_salyersiae,Bacteroides_stercoris,Blautia_obeum,Butyricimonas_faecalis,Clostridiales_bacterium_CCNA10,Clostridium_phoceensis,Coprobacter_secundus,Coprococcus_comes,Eubacterium_ramulus,Eubacterium_rectale,Flavonifractor_plautii,Fournierella_massiliensis,Fusicatenibacter_saccharivorans,Lachnospiraceae_bacterium_GAM79,Mediterranea_massiliensis,Oscillibacter_sp_PEA192,Parabacteroides_sp_CT06,Paraprevotella_xylaniphila,Pseudoflavonifractor_capillosus,Roseburia_faecis,Roseburia_inulinivorans,Ruminococcus_faecis,Ruminococcus_gnavus,Ruminococcus_lactaris,Tyzzerella_nexilis
SRS012969,0.14926227761986866,0.032171054033577444,0.27878955788788595,0.04380359717800765,0.002190674910934682,0.001397111287872724,0.0007822048116339536,0.02241460857561841,0.012506966044556233,0.011592816461381985,0.0009796232032465329,0.0022682104117434103,0.0014507872118725723,0.0001389844776522596,0.0107334505617297,0.0006606840539970089,0.022380161557847427,0.061099262952234695,0.01253759574608479,0.004344666691794948,0.01885996009075209,0.003046119082186416,0.00012100536596518778,0.0017013220776777472,0.0035858892952219507,0.13509767940792258,0.0013257571749004096,0.0009384266364500805,0.00348482935674414,0.053784469414968894,0.004292731035111854,0.0102062248579559,0.03166651846060809,0.002215600120283788,0.0014774604316834996,0.043596854339957074,0.006596701603345254,0.0038871913623105703,0.00035256528700700903,0.0006715313666878029,0.0015868675527188436
SRS013098,0.18409828075074874,0.037060199214031274,0.021364275124914126,0.1366312351423344,0.025102756812137667,0.005949537489320814,0.00085733859509588,0.011117946579372782,0.06701449494843126,0.12338579150647856,0.0018981799405092814,0.006510957958510526,0.022774656779610002,0.00015737970641224535,0.012048323571731526,0.001218928276559253,0.005924767844814994,0.01954878034971293,0.002763637037910376,0.042619793935574565,0.02701587575742566,0.008526041658942147,0.00043350768516736194,0.001991803430398308,0.0009714107068110719,0.016971697193026918,0.01704612271501474,0.0038075153321222447,0.007146085023308575,0.003128048602266005,0.006832866760402437,0.072181925923225,0.06202132856562028,0.0006929145059187657,0.0066130539642280505,0.0013014555834151404,0.013651580116462558,0.002878676802045554,0.0006126583821526022,0.014346817412305675,0.003781352315529637
SRS013158,0.007051292394515268,0.028722072399825473,0.027414667815257525,0.00013540482083356192,0.0017314113537439493,0.00014629598056892178,0.00029935232111625643,0.4975537402601386,0.0214546724781309,0.05832148996386854,0.0005601975313659235,0.0032833822336517265,0.07530908062675644,0.003969001164742692,0.06396519679656808,0.0023909353912214106,0.0033485490142354845,0.09622884442042551,0.012154300259035031,0.0012587911830310738,0.0011771014764647364,0.000572445353163586,0.0010564377338253,0.0017646389986297627,0.000407089369639773,0.02135784611386995,0.0015650116086242602,0.0001313962714192367,0.001416979398281863,0.0013393950551158348,0.004729976343047235,0.0013947349079232905,0.04796651941846762,0.0003358550318344472,0.00010612834228088096,0.0018879282007318234,0.0009447506814526586,0.003119711582004296,0.0024633220403839314,0.00019759770796826427,0.0007664559558386874
SRS013215,0.008826403744108067,0.0006612995095928128,0.0003717310411576076,0.002611745910830854,0.000579553420564313,8.103439940235584e-05,0.0037250287802347275,0.1151146416740287,0.0011385804126134319,0.5335491685526328,0.0007293982922110036,0.0012584357708530784,0.27190089621646724,0.004717795515601571,0.0031398370027941064,0.0015996440870305177,0.003120346761431206,0.00050828487046286,0.0007330616061357207,0.0024196412070009708,0.0006339752579846707,0.00013517786324929702,0.0003778862882180121,6.791073980691475e-05,0.00019167380291981487,6.338304214491969e-05,0.0026937049803650013,3.623738985525779e-05,0.00024986863568375085,9.803894749991364e-05,0.0012137781153238655,0.0055967713826686255,0.024004538706145398,0.00019270785451218667,9.165576303369186e-05,8.847596963205514e-05,0.00027836337325391606,0.0001332850779842061,0.006527516788008202,8.126292075293295e-05,0.0004572583258036024
SRS013476,0.012891868880362091,0.02853930962680774,0.0959705373657243,0.034521923744234996,0.003935624008456618,0.003989164399346141,0.0005670750969984243,0.013714593913162001,0.031162276110954682,0.499521507055798,0.002401693577459378,0.005867521811472327,0.022938699002485727,0.001069745339766753,0.020046328615234116,0.0013667605265566287,0.003300348243486619,0.007463461735437484,0.015692404436851225,0.004227011910672365,0.005969421846439697,0.0013718737320937793,0.0008346833225644952,0.012891837478424777,0.0046087071109474995,0.03103525479517521,0.0003565197251503531,0.002426475284562799,0.013634288184326897,0.05779454198105626,0.004131674322880809,0.003613180812630906,0.0018708748224816037,0.0013685340070190041,0.0029203177273223126,0.016139825029601415,0.010031630489988771,0.0035801701640883056,0.0005334004618193097,0.001600801461523519,0.014098131838634573
SRS013521,0.01672006260055979,0.018397524883238443,0.22912797490186945,0.08929409209428053,0.0012331923702205013,0.0010193952072639094,0.006930239564561769,0.017106853320895225,0.004210945263020759,0.15238882797444955,0.005790636019057623,0.021659136251329127,0.006176738608905998,0.003496521352680656,0.06822327162933073,0.0013462132888981643,0.0028830294171579927,0.09535912912479352,0.0034740271315787147,0.009921754562775453,0.0028730916125787004,0.0018738868543209776,0.0010286797288547665,0.0007988703222029195,0.0010073165009352005,0.015570313609403067,0.0006839148925091662,0.00046083357623301943,0.0016647181297017428,0.007986192463901077,0.042678800615515995,0.007121913922176012,0.013383152114901263,0.1280539137757473,0.0008565183038800732,0.007129348586388526,0.004807031976497842,0.006231713374345725,0.00012148941352612373,0.0002689690354555978,0.0006397656240570785
SRS013687,0.003235111521076783,0.0009988039304436017,0.014077401549056885,0.00020924976899864344,0.0036096770556228444,0.005330059285858074,0.0008543775941788682,0.08576695257786739,0.02331094915546083,0.053882467809824974,0.0023995622400092894,0.02206855415542819,0.01210608702724363,0.0014172594427694738,0.02670287599841047,0.0013552757847015199,0.007439700287386331,0.1921199901571609,0.019343391721059918,0.031380392926746235,0.004602031521337427,0.01729258388364966,0.0011856057817757602,0.00623093918573184,0.003170860650490093,0.018288640441012843,0.010397053276089883,0.001956647196905666,0.009264156544438037,0.07842911914488122,0.05659392324071326,0.036143093735034236,0.010619106210176536,0.18523568686312114,0.006954680168924489,0.028256629829699304,0.009767758483174906,0.0022215132487374187,0.0016494009361838935,0.0009192029958089608,0.0032132266728086127
SRS013800,0.0065800913247647,0.006286245442338344,0.1204372133475361,0.01722566852548684,0.00019430370803997694,0.00020751703465140544,0.000933362975279359,0.021721851586736823,0.019506954930619068,0.2815711949118516,0.003453221958757628,0.005104073875524046,0.004243600209118345,0.0008519521405445262,0.012142327077140525,0.0009653362175969281,0.11596225118442237,0.09042603490381593,0.004275123194647432,0.013104828233593177,0.0006443632015835101,0.0001763362740182339,0.0007879605161308183,0.0030738061065109607,0.00032765554654755796,0.0017274753430628678,0.00011532747801606765,0.00010382281005377384,0.0037613716090564757,0.004580980405526384,0.012045426455508672,0.0007402804994232465,0.11037777262138518,0.13184476595663536,0.00012345663523926953,0.002496235000358971,0.0010707549255274897,0.00047730465564526037,9.890065057504015e-05,6.575038669263633e-05,0.00016710014003696677
SRS013951,0.005624077332556368,0.007248128326022234,0.0553011124351507,0.010057371636190145,0.0059874911256187855,0.007135897296984727,0.00015509544646171193,0.020234710877806397,0.012242531798682553,0.1043903620503472,0.0005702951691423555,0.0017825639509915071,0.001398934404370827,0.00032899357000439544,0.0035556808557412824,0.00038056877426157935,0.0029347737485934814,0.02037499458490206,0.009800744076910332,0.0036931107585837894,0.007189774894535549,0.004615248889182663,0.00013408962297302565,0.013501361618733271,0.012442119656115597,0.25860498578559943,0.0017429698950613588,0.004642992847643363,0.013937821395170942,0.10802523013119462,0.002611730345737401,0.008137508709942684,0.013424550968213019,0.00024013707185962306,0.0036578024606029754,0.13004325694262336,0.09215527411560133,0.02255790428470063,0.00267441662244419,0.017163063390128217,0.009300322132614159
SRS014235,0.03168132130165778,0.007795175707951407,0.1644442015865629,0.024436902349100995,0.005375170313463694,0.006129094718044568,0.000993480737016417,0.05777281852210898,0.02198171596988529,0.0933980917386129,0.003399767141709167,0.03016742225723022,0.0037958715217401855,0.00043747192317645123,0.024074455585046714,0.000948100400963811,0.0068934671046852235,0.0638265277519703,0.010282792919950417,0.011335571476955965,0.009906790396570612,0.0033957996094588316,0.0005886730533722043,0.00964580228606514,0.011011361992412528,0.18034922922076704,0.0015973051233363989,0.0033221558768253543,0.014964403542396918,0.04518251982782533,0.008494543374869129,0.010136489255844094,0.0423138493327715,0.0006180723118187748,0.004307724265949318,0.024170246052179357,0.02483828582471049,0.012702807717530467,0.0008796838988562201,0.018162709265307095,0.004242126743299741
